id|name|value_id|value_name|value_struct|values|site_id|title|subtitle|seller_id|category_id|official_store_id|price|base_price|original_price|currency_id|initial_quantity|available_quantity|sold_quantity
MLA870831824|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Google Chromecast 3rd Generation  Full Hd  Carbón||318494504|MLA352001||6696.0|6696.0||ARS|8411|150|5000
MLA870831824|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Google Chromecast 3rd Generation  Full Hd  Carbón||318494504|MLA352001||6696.0|6696.0||ARS|8411|150|5000
MLA870831824|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA| Google Chromecast 3rd Generation  Full Hd  Carbón||318494504|MLA352001||6696.0|6696.0||ARS|8411|150|5000
MLA930311943|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Google Chromecast 3rd Generation  Full Hd  Tiza||52270943|MLA352001||6799.0|6799.0||ARS|49|1|2
MLA930311943|Tiempo de garantía||360 días|{'number': 360, 'unit': 'días'}|[{'id': None, 'name': '360 días', 'struct': {'number': 360, 'unit': 'días'}}]|MLA| Google Chromecast 3rd Generation  Full Hd  Tiza||52270943|MLA352001||6799.0|6799.0||ARS|49|1|2
MLA919338825|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb De Memoria Ram||155107410|MLA352001||13190.0|13190.0||ARS|226|100|50
MLA919338825|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb De Memoria Ram||155107410|MLA352001||13190.0|13190.0||ARS|226|100|50
MLA919338825|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb De Memoria Ram||155107410|MLA352001||13190.0|13190.0||ARS|226|100|50
MLA883704576|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Streaming Player Original Caja C/ Fuente||499786196|MLA352001||6680.0|6680.0||ARS|2181|500|500
MLA883704576|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Streaming Player Original Caja C/ Fuente||499786196|MLA352001||6680.0|6680.0||ARS|2181|500|500
MLA883704576|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Streaming Player Original Caja C/ Fuente||499786196|MLA352001||6680.0|6680.0||ARS|2181|500|500
MLA782706781|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente||69526727|MLA352001||6689.0|6689.0||ARS|9305|250|5000
MLA782706781|Tipo de garantía|2230279|Garantía de fábrica||[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]|MLA|Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente||69526727|MLA352001||6689.0|6689.0||ARS|9305|250|5000
MLA782706781|Tiempo de garantía||1 años|{'number': 1, 'unit': 'años'}|[{'id': None, 'name': '1 años', 'struct': {'number': 1, 'unit': 'años'}}]|MLA|Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente||69526727|MLA352001||6689.0|6689.0||ARS|9305|250|5000
MLA859353000|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Media Streaming Player Original En Caja ||499786196|MLA352001||8440.0|8440.0||ARS|1334|250|500
MLA859353000|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Media Streaming Player Original En Caja ||499786196|MLA352001||8440.0|8440.0||ARS|1334|250|500
MLA859353000|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Media Streaming Player Original En Caja ||499786196|MLA352001||8440.0|8440.0||ARS|1334|250|500
MLA919341056|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Chromecast 4ta Generacion Con Google Tv + Control Remoto||155107410|MLA352001||13190.0|13190.0||ARS|222|100|50
MLA919341056|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA|Chromecast 4ta Generacion Con Google Tv + Control Remoto||155107410|MLA352001||13190.0|13190.0||ARS|222|100|50
MLA908899898|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast Ultra Hdmi Resolucion 4k Garantia Sin Caja||119914491|MLA352001||7279.09|7279.09|7999|ARS|270|1|200
MLA908899898|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast Ultra Hdmi Resolucion 4k Garantia Sin Caja||119914491|MLA352001||7279.09|7279.09|7999|ARS|270|1|200
MLA908899898|Tiempo de garantía||3 meses|{'number': 3, 'unit': 'meses'}|[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]|MLA|Google Chromecast Ultra Hdmi Resolucion 4k Garantia Sin Caja||119914491|MLA352001||7279.09|7279.09|7999|ARS|270|1|200
MLA902659054|Tiempo de garantía||1 años|{'number': 1, 'unit': 'años'}|[{'id': None, 'name': '1 años', 'struct': {'number': 1, 'unit': 'años'}}]|MLA|Google Chromecast 3 Generacion En Caja Hdmi C/ Fuente||69526727|MLA352001||6799.0|6799.0||ARS|1435|500|500
MLA902659054|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Generacion En Caja Hdmi C/ Fuente||69526727|MLA352001||6799.0|6799.0||ARS|1435|500|500
MLA902659054|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Generacion En Caja Hdmi C/ Fuente||69526727|MLA352001||6799.0|6799.0||ARS|1435|500|500
MLA910313990|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram||318494504|MLA352001||13499.0|13499.0||ARS|264|50|150
MLA910313990|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram||318494504|MLA352001||13499.0|13499.0||ARS|264|50|150
MLA910313990|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram||318494504|MLA352001||13499.0|13499.0||ARS|264|50|150
MLA625783367|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Original 100% Smart Tv Hdmi Garantia 1 Año Y Factura ||82274172|MLA352001||6689.0|6689.0||ARS|6714|500|500
MLA625783367|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Original 100% Smart Tv Hdmi Garantia 1 Año Y Factura ||82274172|MLA352001||6689.0|6689.0||ARS|6714|500|500
MLA625783367|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Original 100% Smart Tv Hdmi Garantia 1 Año Y Factura ||82274172|MLA352001||6689.0|6689.0||ARS|6714|500|500
MLA914388347|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Chromecast Google Tv 4k Control De Voz Hdmi Wifi Dual||499786196|MLA352001||13699.0|13699.0||ARS|295|50|200
MLA914388347|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Chromecast Google Tv 4k Control De Voz Hdmi Wifi Dual||499786196|MLA352001||13699.0|13699.0||ARS|295|50|200
MLA914388347|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Chromecast Google Tv 4k Control De Voz Hdmi Wifi Dual||499786196|MLA352001||13699.0|13699.0||ARS|295|50|200
MLA856792257|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 2018 Bulk Hd Smart Tv Netflix Sin Caja ||119914491|MLA352001||6299.0|6299.0||ARS|1366|500|250
MLA856792257|Tiempo de garantía||3 meses|{'number': 3, 'unit': 'meses'}|[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]|MLA|Google Chromecast 3 2018 Bulk Hd Smart Tv Netflix Sin Caja ||119914491|MLA352001||6299.0|6299.0||ARS|1366|500|250
MLA885133507|Cantidad máxima de compra||1||[{'id': None, 'name': '1', 'struct': None}]|MLA|Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto||9198894|MLA352001||12739.09|12739.09|13999|ARS|529|1|250
MLA885133507|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA|Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto||9198894|MLA352001||12739.09|12739.09|13999|ARS|529|1|250
MLA885133507|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto||9198894|MLA352001||12739.09|12739.09|13999|ARS|529|1|250
MLA885133507|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto||9198894|MLA352001||12739.09|12739.09|13999|ARS|529|1|250
MLA759911380|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Fuente||82274172|MLA352001||6699.0|6699.0||ARS|3112|500|500
MLA759911380|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Fuente||82274172|MLA352001||6699.0|6699.0||ARS|3112|500|500
MLA759911380|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Fuente||82274172|MLA352001||6699.0|6699.0||ARS|3112|500|500
MLA782706893|Tiempo de garantía||1 años|{'number': 1, 'unit': 'años'}|[{'id': None, 'name': '1 años', 'struct': {'number': 1, 'unit': 'años'}}]|MLA|Google Chromecast 3 Generacion Nuevo En Caja Hdmi Sin Fuente||69526727|MLA352001||6520.0|6520.0||ARS|1515|500|250
MLA782706893|Tipo de garantía|2230279|Garantía de fábrica||[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]|MLA|Google Chromecast 3 Generacion Nuevo En Caja Hdmi Sin Fuente||69526727|MLA352001||6520.0|6520.0||ARS|1515|500|250
MLA910314339|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram||318494504|MLA352001||16949.0|16949.0||ARS|105|1|50
MLA910314339|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram||318494504|MLA352001||16949.0|16949.0||ARS|105|1|50
MLA910314339|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram||318494504|MLA352001||16949.0|16949.0||ARS|105|1|50
MLA762401890|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Generacion Original En Caja Hdmi Usb||69526727|MLA352001||6540.0|6540.0||ARS|3641|500|500
MLA762401890|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Generacion Original En Caja Hdmi Usb||69526727|MLA352001||6540.0|6540.0||ARS|3641|500|500
MLA762401890|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Generacion Original En Caja Hdmi Usb||69526727|MLA352001||6540.0|6540.0||ARS|3641|500|500
MLA914388160|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 4k Android Tv Control De Voz 2gb Ram||69526727|MLA352001||13899.0|13899.0||ARS|135|1|50
MLA914388160|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 4k Android Tv Control De Voz 2gb Ram||69526727|MLA352001||13899.0|13899.0||ARS|135|1|50
MLA914388160|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 4k Android Tv Control De Voz 2gb Ram||69526727|MLA352001||13899.0|13899.0||ARS|135|1|50
MLA906348632|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Google Chromecast 3rd Generation  Full Hd  Carbón||318494504|MLA352001||7999.0|7999.0||ARS|139|50|25
MLA906348632|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Google Chromecast 3rd Generation  Full Hd  Carbón||318494504|MLA352001||7999.0|7999.0||ARS|139|50|25
MLA906348632|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA| Google Chromecast 3rd Generation  Full Hd  Carbón||318494504|MLA352001||7999.0|7999.0||ARS|139|50|25
MLA839601238|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Media Streaming Player Original En Caja ||499786196|MLA352001||6670.0|6670.0||ARS|1972|500|250
MLA839601238|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Media Streaming Player Original En Caja ||499786196|MLA352001||6670.0|6670.0||ARS|1972|500|250
MLA839601238|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Media Streaming Player Original En Caja ||499786196|MLA352001||6670.0|6670.0||ARS|1972|500|250
MLA773339747|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Usb||82274172|MLA352001||6550.0|6550.0||ARS|1662|250|250
MLA773339747|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Usb||82274172|MLA352001||6550.0|6550.0||ARS|1662|250|250
MLA773339747|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Usb||82274172|MLA352001||6550.0|6550.0||ARS|1662|250|250
MLA904247784|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3rd Generation Full Hd 1080p Streaming Tv||499786196|MLA352001||6650.0|6650.0||ARS|917|500|200
MLA904247784|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3rd Generation Full Hd 1080p Streaming Tv||499786196|MLA352001||6650.0|6650.0||ARS|917|500|200
MLA904247784|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3rd Generation Full Hd 1080p Streaming Tv||499786196|MLA352001||6650.0|6650.0||ARS|917|500|200
MLA856776066|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3ra Gen 2018 Smart Tv Bulk Sin Caja Cuotas||309453406|MLA352001||5999.0|5999.0||ARS|1464|500|250
MLA856776066|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA|Google Chromecast 3ra Gen 2018 Smart Tv Bulk Sin Caja Cuotas||309453406|MLA352001||5999.0|5999.0||ARS|1464|500|250
